Rio de Janeiro,Rio de Janeiro,Brazil  , BR  , BRA  , -22.9083  , -43.1964  , Rio de Janeiro  , 12272000  , 1076887657  ,
Jakarta  , Jakarta  , Indonesia  , ID  , IDN  , -6.2146  , 106.8451  , Jakarta  , 34540000  , 1360771077  ,
Kinshasa  , Kinshasa  , Congo (Kinshasa)  , CD  , COD  , -4.3317  , 15.3139  , Kinshasa  , 13528000  , 1180000363  ,
Lagos  , Lagos  , Nigeria  , NG  , NGA  , 6.4500  , 3.4000  , Lagos  , 15279000  , 1566593751  ,
Ho Chi Minh City  , Ho Chi Minh City  , Vietnam  , VN  , VNM  , 10.8167  , 106.6333  , Hồ Chí Minh  , 13312000  , 1704774326  ,
Bangalore  , Bangalore  , India  , IN  , IND  , 12.9699  , 77.5980  , Karnātaka  , 13707000  , 1356410365  ,
  Bangkok  , Bangkok  , Thailand  , TH  , THA  , 13.7500  , 100.5167  , Krung Thep Maha Nakhon  , 17066000  , 1764068610  ,
  Manila  , Manila  , Philippines  , PH  , PHL  , 14.5958  , 120.9772  , Manila  , 23088000  , 1608618140  ,
  Mumbai  , Mumbai  , India  , IN  , IND  , 18.9667  , 72.8333  , Mahārāshtra  , 23355000  , 1356226629  ,
  Mexico City  , Mexico City  , Mexico  , MX  , MEX  , 19.4333  , -99.1333  , Ciudad de México  , 20996000  , 1484247881  ,
  Shenzhen  , Shenzhen  , China  , CN  , CHN  , 22.5350  , 114.0540  , Guangdong  , 15929000  , 1156158707  ,
  Kolkāta  , Kolkata  , India  , IN  , IND  , 22.5411  , 88.3378  , West Bengal  , 17560000  , 1356060520  ,
  Guangzhou  , Guangzhou  , China  , CN  , CHN  , 23.1288  , 113.2590  , Guangdong  , 20902000  , 1156237133  ,
  Dhaka  , Dhaka  , Bangladesh  , BD  , BGD  , 23.7161  , 90.3961  , Dhaka  , 15443000  , 1050529279  ,
  Karachi  , Karachi  , Pakistan  , PK  , PAK  , 24.8600  , 67.0100  , Sindh  , 14835000  , 1586129469  ,
  Delhi  , Delhi  , India  , IN  , IND  , 28.6600  , 77.2300  , Delhi  , 29617000  , 1356872604  ,
  Cairo  , Cairo  , Egypt  , EG  , EGY  , 30.0561  , 31.2394  , Al Qāhirah  , 19372000  , 1818253931  ,
  Shanghai  , Shanghai  , China  , CN  , CHN  , 31.1667  , 121.4667  , Shanghai  , 22120000  , 1156073548  ,
  Nanyang  , Nanyang  , China  , CN  , CHN  , 32.9987  , 112.5292  , Henan  , 12010000  , 1156192287  ,
  Los Angeles  , Los Angeles  , United States  , US  , USA  , 34.1139  , -118.4068  , California  , 12750807  , 1840020491  ,
  Ōsaka  , Osaka  , Japan  , JP  , JPN  , 34.6936  , 135.5019  , Ōsaka  , 14977000  , 1392419823  ,
  Tokyo  , Tokyo  , Japan  , JP  , JPN  , 35.6897  , 139.6922  , Tōkyō  , 37977000  , 1392685764  ,
  Tehran  , Tehran  , Iran  , IR  , IRN  , 35.7000  , 51.4167  , Tehrān  , 13633000  , 1364305026  ,
  Seoul  , Seoul  , Korea , South  , KR  ,41.2341 , 37.5833  , 127.0000  , Seoul  , 21794000  , 1410836482  
  Beijing  , Beijing  , China  , CN  , CHN  , 39.9050  , 116.3914  , Beijing  , 19433000  , 1156228865  ,
  New York  , New York  , United States  , US  , USA  , 40.6943  , -73.9249  , New York  , 18713220  , 1840034016  ,
  Istanbul  , Istanbul  , Turkey  , TR  , TUR  , 41.0100  , 28.9603  , İstanbul  , 15154000  , 1792756324  ,
  Moscow  , Moscow  , Russia  , RU  , RUS  , 55.7558  , 37.6178  , Moskva  , 17125000  , 1643318494  ,
